country,cncode,year,region,incomegr,dbacba,llgdp,cbagdp,dbagdp,ofagdp,pcrdbgdp,pcrdbofgdp,bdgdp,fdgdp,bcbd,ll_usd,overhead,netintmargin,concentration,roa,roe,costinc,zscore,inslife,insnonlife,stmktcap,stvaltraded,stturnover,listco_pc,prbond,pubond,intldebt,intldebtnet,nrbloan,offdep,remit
Aruba,ABW,1960,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1961,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1962,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1963,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1964,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1965,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1966,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1967,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1968,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1969,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1970,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1971,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1972,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1973,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1974,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1975,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1976,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1977,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1978,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1979,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1980,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
